crop,class,btu_ac_app,years_of_data
cotton,herbicide,NA,2021 2019
cotton,insecticide,13277.426803119324,2021 2019
cotton,fungicide,6694.730409090908,2021 2019
cotton,growth reg,8553.992727272725,2021 2019
