crop,class,btu_ac_app,years_of_data
"wheat, spring, (excl durum)",herbicide,103313.73630613246,2019 2017
"wheat, spring, (excl durum)",insecticide,5245.117333333333,2019 2017
"wheat, spring, (excl durum)",fungicide,4970.116578733765,2019 2017
