year,crop,chemical_herbicide,chemical_insecticide,chemical_fumigant,chemical_fungicide,chemical_growth_reg
1990,Cotton,16673000,NA,NA,NA,NA
1990,Potatoes,27729000,2769000,1159000,2623000,NA
1990,Rice,10145000,94000,NA,120000,NA
1990,Soybeans,74310000,NA,NA,NA,NA
1990,Wheat,10873000,1203000,NA,112000,NA
1991,Cotton,31811000,6316000,NA,541000,64000
1991,Peanuts,3223000,1392000,1917000,7506000,NA
1991,Potatoes,17914000,2908000,12351000,11019000,NA
1991,Rice,10397000,163000,NA,275000,NA
1991,Sorghum,10255000,767000,NA,NA,NA
1991,Soybeans,63094000,368000,NA,NA,NA
1991,Wheat,8223000,145000,NA,53000,NA
1992,Cotton,27617000,11018000,NA,595000,50000
1992,Potatoes,15856000,2827000,12375000,15334000,NA
1992,Rice,11260000,86000,NA,216000,NA
1992,Soybeans,58592000,132000,NA,NA,NA
1992,Wheat,11239000,876000,NA,761000,NA
1993,Cotton,27888000,11895000,NA,527000,40000
1993,Potatoes,15893000,3026000,16925000,16584000,NA
1993,Soybeans,57127000,308000,NA,NA,NA
1993,Wheat,13343000,118000,NA,535000,NA
1994,Cotton,30905000,17447000,NA,778000,73000
1994,Potatoes,25963000,3580000,25904000,18669000,NA
1994,Soybeans,49385000,145000,NA,32000,NA
1994,Wheat,14603000,1567000,NA,695000,NA
1995,Cotton,34630000,20668000,NA,719000,69000
1995,Potatoes,30502000,2553000,20974000,16869000,NA
1995,Soybeans,56439000,427000,NA,11000,NA
1995,Wheat,13533000,697000,NA,383000,NA
1996,Cotton,36112000,15236000,NA,397000,64000
1996,Potatoes,1577000,1370000,43869000,3929000,NA
1996,Soybeans,60629000,273000,NA,NA,NA
1996,Wheat,17220000,1430000,NA,101000,NA
1997,Cotton,40999000,18282000,NA,897000,111000
1997,Potatoes,36408000,2287000,20249000,15528000,NA
1997,Soybeans,78207000,731000,NA,NA,NA
1997,Wheat,16934000,931000,NA,94000,NA
1998,Barley,2695000,9000,NA,10000,NA
1998,Cotton,32569000,15289000,NA,1501000,53000
1998,Potatoes,163000,151000,1895000,1217000,NA
1998,Soybeans,71437000,470000,NA,NA,NA
1998,Wheat,20394000,866000,NA,391000,NA
1999,Cotton,38789000,39331000,NA,2546000,118000
1999,Peanuts,1938000,956000,1225000,3288000,NA
1999,Potatoes,61232000,2596000,29327000,17595000,NA
1999,Soybeans,70729000,400000,NA,NA,NA
2000,Cotton,40892000,40860000,NA,1921000,147000
2000,Rice,11594000,359000,NA,556000,NA
2000,Soybeans,75164000,303000,NA,NA,NA
2000,Sugar beets,1390000,1741000,396000,10489000,NA
2000,Wheat,14757000,597000,NA,231000,NA
2001,Cotton,34001000,23810000,NA,212000,100000
2001,Potatoes,37983000,1862000,22124000,12076000,NA
2001,Soybeans,50464000,242000,NA,NA,NA
2002,Soybeans,86742000,1077000,NA,108000,NA
2002,Wheat,9234000,665000,NA,110000,NA
2003,Barley,3261000,41000,NA,31000,NA
2003,Cotton,39854000,13632000,NA,348000,401000
2003,Potatoes,37259000,1571000,34094000,12048000,NA
2003,Sorghum,15390000,265000,NA,NA,NA
2004,Peanuts,1932000,1131000,1404000,4324000,NA
2004,Soybeans,70828000,497000,NA,52000,NA
2004,Wheat,18629000,797000,NA,402000,NA
2005,Cotton,40089000,14651000,NA,123000,309000
2005,Potatoes,37157000,979000,24378000,13416000,NA
2005,Soybeans,77187000,2390000,NA,192000,NA
2006,Rice,7974000,161000,NA,926000,NA
2006,Soybeans,103489000,2674000,NA,468000,NA
2006,Wheat,21454000,355000,NA,267000,NA
2007,Cotton,41820000,7943000,NA,75000,251000
2009,Wheat,33457000,775000,NA,866000,NA
2010,Cotton,36724000,6041000,NA,1939000,217000
2010,Potatoes,27569000,750000,36673000,13609000,NA
2011,Barley,1955000,10000,NA,62000,NA
2011,Sorghum,12754000,14000,NA,NA,NA
2012,Soybeans,132979000,4060000,NA,1081000,NA
2012,Wheat,26370000,372000,NA,1541000,NA
2013,Peanuts,1743000,327000,429990,3871990,429990
2013,Rice,7913000,34000,NA,779000,NA
2014,Potatoes,23185000,892000,34482000,19504000,NA
2015,Cotton,36245000,2443000,NA,26000,135000
2015,Soybeans,150964000,2978000,NA,1413000,NA
2015,Wheat,28119600,628000,NA,1928600,5800
2016,Potatoes,8580000,402000,40078000,17296000,NA
2017,Cotton,43674000,4469000,NA,28000,700000
2017,Soybeans,161687000,2735000,NA,1975000,NA
2017,Wheat,32386000,259000,NA,1913000,NA
2018,Peanuts,2403000,177000,NA,4109000,4000
2018,Soybeans,184060000,2304000,NA,3711000,NA
2019,Barley,1836000,5000,NA,81000,NA
2019,Cotton,59792000,7750000,NA,87000,931000
2019,Sorghum,15576000,205000,NA,NA,NA
2019,Wheat,29028000,NA,NA,2020000,NA
2020,Soybeans,191622000,2639000,NA,3603000,NA
2021,Cotton,37451000,3718000,NA,358000,523000
2021,Rice,6640000,16000,NA,349000,NA
1990,"Corn, grain",190434118.3715361,19523505.5490934,NA,NA,NA
1991,"Corn, grain",173949941.54371545,19217498.252447903,NA,NA,NA
1992,"Corn, grain",183622673.81567836,16972857.9069946,NA,NA,NA
1993,"Corn, grain",164086276.56402317,15010597.712024773,NA,NA,NA
1994,"Corn, grain",157781513.64548582,12694190.666104231,NA,NA,NA
1995,"Corn, grain",154994751.52769706,12441776.949142931,NA,15717.485928173428,NA
1996,"Corn, grain",173579343.2416199,13199222.910889318,NA,NA,NA
1997,"Corn, grain",151435379.11718008,12526458.812321372,NA,12923.391552873929,NA
1998,"Corn, grain",163678938.9824463,11205236.834730325,NA,NA,NA
1999,"Corn, grain",141905241.92410225,9317024.789608488,NA,NA,NA
2000,"Corn, grain",141577292.47854105,9051079.187998267,NA,NA,NA
2001,"Corn, grain",144346703.4040849,8265746.5224936595,NA,NA,NA
2002,"Corn, grain",86854750.82404646,3564801.836446398,NA,NA,NA
2003,"Corn, grain",136472511.30573863,6831129.283991383,NA,212300.3340771602,NA
2005,"Corn, grain",146045643.5771836,4494211.173763372,NA,86195.42981233112,NA
2010,"Corn, grain",170496235.04533806,1526650.3396044269,NA,696399.6644179606,NA
2014,"Corn, grain",163762515.62447628,1564323.0585317349,NA,1087780.46409778,NA
2016,"Corn, grain",210972883.01740643,1793679.196161542,NA,1240270.3702906813,NA
2018,"Corn, grain",199698877.93491694,1940855.5540299327,NA,3527391.0476452014,NA
2021,"Corn, grain",NA,NA,NA,NA,NA
1990,"Corn, silage",17415881.62846391,1785494.450906603,NA,NA,NA
1991,"Corn, silage",15519058.456284516,1714501.747552093,NA,NA,NA
1992,"Corn, silage",15461326.184321653,1429142.0930054,NA,NA,NA
1993,"Corn, silage",17789723.435976837,1627402.2879752282,NA,NA,NA
1994,"Corn, silage",12439486.354514195,1000809.3338957701,NA,NA,NA
1995,"Corn, silage",12647248.472302958,1015223.0508570699,NA,1282.5140718265727,NA
1996,"Corn, silage",13397656.758380085,1018777.0891106824,NA,NA,NA
1997,"Corn, silage",12615620.882819943,1043541.1876786281,NA,1076.6084471260717,NA
1998,"Corn, silage",13333061.017553695,912763.1652696747,NA,NA,NA
1999,"Corn, silage",12153758.075897759,797975.2103915112,NA,NA,NA
2000,"Corn, silage",11886707.521458955,759920.8120017321,NA,NA,NA
2001,"Corn, silage",12892296.5959151,738253.4775063411,NA,NA,NA
2002,"Corn, silage",8922249.175953541,366198.1635536023,NA,NA,NA
2003,"Corn, silage",12663488.694261355,633870.7160086164,NA,19699.665922839788,NA
2005,"Corn, silage",11529356.42281639,354788.8262366281,NA,6804.570187668883,NA
2010,"Corn, silage",11653764.954661947,104349.66039557307,NA,47600.335582039464,NA
2014,"Corn, silage",12528484.375523703,119676.94146826507,NA,83219.53590221994,NA
2016,"Corn, silage",15093116.982593538,128320.80383845771,NA,88729.62970931857,NA
2018,"Corn, silage",15037122.065083072,146144.4459700673,NA,265608.95235479885,NA
2021,"Corn, silage",NA,NA,NA,NA,NA
