crop,class,btu_ac_app,years_of_data
"wheat, spring, durum",herbicide,98776.03997156759,2019 2017
"wheat, spring, durum",insecticide,19611.50909090909,2012 2009
"wheat, spring, durum",fungicide,5369.188681818181,2019 2017
