crop,class,btu_ac_app,years_of_data
"wheat, winter",herbicide,94820.76946533375,2019 2017
"wheat, winter",insecticide,8996.68366060606,2019 2017
"wheat, winter",fungicide,5455.015665748392,2019 2017
