crop,class,btu_ac_app,years_of_data
"cotton, upland",herbicide,NA,2010 2005
"cotton, upland",insecticide,28953.161705580904,2010 2005
"cotton, upland",fungicide,749905.373901515,2010 2005
"cotton, upland",growth reg,4752.218181818181,2010 2005
