crop,class,btu_ac_app,years_of_data
"potatoes, fall",herbicide,131786.16176651567,2016 2014
"potatoes, fall",insecticide,32543.107461818177,2016 2014
"potatoes, fall",fungicide,45021.74743534482,2016 2014
