crop,herbicide,insecticide,fungicide,growth reg,fumigant
barley,,,,,
corn,,,,,
"cotton, upland",,,,,
cotton,,,,,
"potatoes, fall",,,,,
rice,,,,,
sorghum,,,,,
soybeans,,,,,
"wheat, spring, durum",,,,,
"wheat, spring, (excl durum)",,,,,
"wheat, winter",,,,,
sugarbeets,,,,,
