year,crop,acres_harvested,acres_planted,production,yield
1980,Barley,7260000,8320000,361135000,49.7
1980,"Corn, grain",72961000,74542442.53586191,6639396000,91
1980,"Corn, silage",9299000,9500557.464138098,111990000,12
1980,Cotton,13214800,14533800,5338608000,404
1980,Peanuts,1399800,1521400,2302762000,1645
1980,Potatoes,1147800,1175400,303905000,265
1980,Rice,3312000,3380000,146150000,44.13
1980,Sorghum,12513000,14772462.217860647,579343000,46.3
1980,Soybeans,67813000,69930000,1797543000,26.5
1980,Sugar beets,1189500,1231300,23502000,19.8
1980,Wheat,71125000,80788000,2380934000,33.5
1981,Barley,9038000,9618000,473512000,52.4
1981,"Corn, grain",74524000,75663034.70922722,8118650000,108.9
1981,"Corn, silage",8307000,8433965.290772779,117891000,14.2
1981,Cotton,13841200,14330100,7509936000,542
1981,Peanuts,1488700,1514000,3981850000,2675
1981,Potatoes,1232400,1255300,340623000,276
1981,Rice,3792000,3827000,182742000,48.19
1981,Sorghum,13677000,15064275.046670815,875835000,64
1981,Soybeans,66163000,67543000,1989110000,30.1
1981,Sugar beets,1228100,1251600,27538000,22.4
1981,Wheat,80642000,88251000,2785357000,34.5
1982,Barley,9013000,9549000,515935000,57.2
1982,"Corn, grain",72719000,73514705.05489619,8235101000,113.2
1982,"Corn, silage",8252000,8342294.945103803,117782000,14.3
1982,Cotton,9733900,11345400,5742096000,590
1982,Peanuts,1277400,1311400,3440255000,2693
1982,Potatoes,1266900,1302800,355131000,280
1982,Rice,3262000,3295000,153637000,47.1
1982,Sorghum,14137000,15372309.090909092,835083000,59.1
1982,Soybeans,69442000,70884000,2190297000,31.5
1982,Sugar beets,1026800,1054200,20894000,20.3
1982,Wheat,77937000,86232000,2764967000,35.5
1983,Barley,9721000,10411000,508269000,52.3
1983,"Corn, grain",51479000,52277837.51918633,4174251000,81.1
1983,"Corn, silage",7808000,7929162.480813669,96238000,12.3
1983,Cotton,7347500,7926300,3730272000,508
1983,Peanuts,1373500,1411000,3295530000,2399
1983,Potatoes,1241500,1271100,333726000,269
1983,Rice,2169000,2190000,99720000,45.98
1983,Sorghum,10001000,11166530.07518797,487521000,48.7
1983,Soybeans,62525000,63779000,1635772000,26.2
1983,Sugar beets,1055800,1081400,20992000,19.9
1983,Wheat,61390000,76419000,2419824000,39.4
1984,Barley,11218000,11934000,598034000,53.3
