Year,Commodity,Data Item,Value
2013,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",3357004000
2012,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",3042044000
2011,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",3097179000
2010,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",3331306000
2009,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",3360931000
2008,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2967007000
2007,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2677117000
2006,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",3196726000
2005,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",3068342000
2004,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",3123790000
2003,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2453845000
2002,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2756147000
2001,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2890682000
2000,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2757810000
1999,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2653758000
1998,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2741014000
1997,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2688750000
1996,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2380274000
1995,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2174254000
1994,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2514869000
1993,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1869718000
1992,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2190354000
1991,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1986539000
1990,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1925947000
1989,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1923666000
1988,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1548841000
1987,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1937722000
1986,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1942558000
1985,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2099056000
1984,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1860863000
1983,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1635772000
1982,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",2190297000
1981,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1989110000
1980,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU",1797543000
2021,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.4
2020,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51
2019,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.4
2018,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.6
2017,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.3
2016,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.9
2015,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",48
2014,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.5
2013,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",44
2012,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",40
2011,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",42
2010,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",43.5
2009,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",44
2008,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",39.7
2007,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",41.7
2006,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",42.9
2005,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",43.1
2004,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",42.2
2003,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.9
2002,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",38
2001,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",39.6
2000,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",38.1
1999,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",36.6
1998,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",38.9
1997,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",38.9
1996,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37.6
1995,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",35.3
1994,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",41.4
1993,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32.6
1992,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37.6
1991,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",34.2
1990,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",34.1
1989,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32.3
1988,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",27
1987,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.9
1986,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.3
1985,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",34.1
1984,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",28.1
1983,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",26.2
1982,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",31.5
1981,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30.1
1980,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",26.5
2022,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1146100
2021,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1107600
2020,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1141800
2019,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,980100
2018,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1096400
2017,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1113800
2016,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1126400
2015,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1145400
2014,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1146300
2013,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1154000
2012,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1204100
2011,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1213200
2010,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1156100
2009,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1148500
2008,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1004500
2007,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1246800
2006,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1303600
2005,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1242900
2004,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1306700
2003,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1347800
2002,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1360700
2001,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1241100
2000,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1373000
1999,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1527300
1998,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1450700
1997,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1428300
1996,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1323300
1995,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1420100
1994,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1443000
1993,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1409400
1992,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1411500
1991,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1386700
1990,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1377200
1989,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1294500
1988,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1300700
1987,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1252400
1986,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1191200
1985,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1102500
1984,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1096300
1983,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1055800
1982,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1026800
1981,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1228100
1980,SUGARBEETS,SUGARBEETS - ACRES HARVESTED,1189500
2022,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1178400
2021,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1160000
2020,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1162200
2019,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1133000
2018,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1113100
2017,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1131400
2016,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1163400
2015,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1159800
2014,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1162500
2013,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1198000
2012,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1230100
2011,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1232800
2010,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1171900
2009,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1185800
2008,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1090700
2007,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1268800
2006,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1366200
2005,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1299800
2004,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1345600
2003,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1365400
2002,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1427300
2001,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1365300
2000,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1564200
1999,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1560600
1998,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1497800
1997,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1459300
1996,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1368400
1995,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1444600
1994,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1475800
1993,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1437700
1992,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1436700
1991,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1427400
1990,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1400400
1989,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1324400
1988,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1327200
1987,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1266700
1986,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1231500
1985,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1124500
1984,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1123600
1983,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1081400
1982,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1054200
1981,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1251600
1980,SUGARBEETS,SUGARBEETS - ACRES PLANTED,1231300
2021,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",36751000
2020,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",33610000
2019,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",28650000
2018,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",33282000
2017,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",35317000
2016,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",36920000
2015,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",35371000
2014,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",31285000
2013,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",32789000
2012,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",35224000
2011,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",28896000
2010,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",32034000
2009,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",29783000
2008,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",26881000
2007,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",31834000
2006,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",34064000
2005,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",27433000
2004,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",30021000
2003,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",30710000
2002,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",27707000
2001,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",25708000
2000,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",32541000
1999,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",33420000
1998,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",32499000
1997,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",29886000
1996,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",26680000
1995,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",28065000
1994,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",31853000
1993,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",26249000
1992,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",29143000
1991,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",28203000
1990,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",27513000
1989,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",25131000
1988,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",24810000
1987,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",28072000
1986,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",25162000
1985,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",22529000
1984,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",22134000
1983,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",20992000
1982,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",20894000
1981,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",27538000
1980,SUGARBEETS,"SUGARBEETS - PRODUCTION, MEASURED IN TONS",23502000
2021,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",33.2
2020,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",29.4
2019,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",29.2
2018,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",30.4
2017,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",31.7
2016,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",32.8
2015,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",30.9
2014,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",27.3
2013,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",28.4
2012,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",29.3
2011,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",23.8
2010,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",27.7
2009,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",25.9
2008,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",26.8
2007,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",25.5
2006,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",26.1
2005,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",22.1
2004,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",23
2003,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",22.8
2002,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.4
2001,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.7
2000,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",23.7
1999,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",21.9
1998,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",22.4
1997,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.9
1996,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.2
1995,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",19.8
1994,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",22.1
1993,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",18.6
1992,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.6
1991,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.3
1990,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20
1989,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",19.4
1988,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",19.1
1987,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",22.4
1986,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",21.1
1985,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.4
1984,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.2
1983,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",19.9
1982,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",20.3
1981,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",22.4
1980,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",19.8
2022,WHEAT,WHEAT - ACRES HARVESTED,37622000
2021,WHEAT,WHEAT - ACRES HARVESTED,37163000
2020,WHEAT,WHEAT - ACRES HARVESTED,36789000
2019,WHEAT,WHEAT - ACRES HARVESTED,37394000
2018,WHEAT,WHEAT - ACRES HARVESTED,39612000
2017,WHEAT,WHEAT - ACRES HARVESTED,37555000
2016,WHEAT,WHEAT - ACRES HARVESTED,43848000
2015,WHEAT,WHEAT - ACRES HARVESTED,47318000
2014,WHEAT,WHEAT - ACRES HARVESTED,46385000
2013,WHEAT,WHEAT - ACRES HARVESTED,45332000
2012,WHEAT,WHEAT - ACRES HARVESTED,48758000
2011,WHEAT,WHEAT - ACRES HARVESTED,45687000
2010,WHEAT,WHEAT - ACRES HARVESTED,46883000
2009,WHEAT,WHEAT - ACRES HARVESTED,49841000
2008,WHEAT,WHEAT - ACRES HARVESTED,56036000
2007,WHEAT,WHEAT - ACRES HARVESTED,50999000
2006,WHEAT,WHEAT - ACRES HARVESTED,46800000
2005,WHEAT,WHEAT - ACRES HARVESTED,50104000
2004,WHEAT,WHEAT - ACRES HARVESTED,49969000
2003,WHEAT,WHEAT - ACRES HARVESTED,53063000
2002,WHEAT,WHEAT - ACRES HARVESTED,45824000
2001,WHEAT,WHEAT - ACRES HARVESTED,48473000
2000,WHEAT,WHEAT - ACRES HARVESTED,53063000
1999,WHEAT,WHEAT - ACRES HARVESTED,53773000
1998,WHEAT,WHEAT - ACRES HARVESTED,59002000
1997,WHEAT,WHEAT - ACRES HARVESTED,62840000
1996,WHEAT,WHEAT - ACRES HARVESTED,62819000
1995,WHEAT,WHEAT - ACRES HARVESTED,60955000
1994,WHEAT,WHEAT - ACRES HARVESTED,61770000
1993,WHEAT,WHEAT - ACRES HARVESTED,62712000
1992,WHEAT,WHEAT - ACRES HARVESTED,62761000
1991,WHEAT,WHEAT - ACRES HARVESTED,57803000
1990,WHEAT,WHEAT - ACRES HARVESTED,69103000
1989,WHEAT,WHEAT - ACRES HARVESTED,62189000
1988,WHEAT,WHEAT - ACRES HARVESTED,53189000
1987,WHEAT,WHEAT - ACRES HARVESTED,55945000
1986,WHEAT,WHEAT - ACRES HARVESTED,60688000
1985,WHEAT,WHEAT - ACRES HARVESTED,64704000
1984,WHEAT,WHEAT - ACRES HARVESTED,66928000
1983,WHEAT,WHEAT - ACRES HARVESTED,61390000
1982,WHEAT,WHEAT - ACRES HARVESTED,77937000
1981,WHEAT,WHEAT - ACRES HARVESTED,80642000
1980,WHEAT,WHEAT - ACRES HARVESTED,71125000
2022,WHEAT,WHEAT - ACRES PLANTED,47092000
2021,WHEAT,WHEAT - ACRES PLANTED,46703000
2020,WHEAT,WHEAT - ACRES PLANTED,44450000
2019,WHEAT,WHEAT - ACRES PLANTED,45485000
2018,WHEAT,WHEAT - ACRES PLANTED,47815000
2017,WHEAT,WHEAT - ACRES PLANTED,46052000
2016,WHEAT,WHEAT - ACRES PLANTED,50116000
2015,WHEAT,WHEAT - ACRES PLANTED,54999000
2014,WHEAT,WHEAT - ACRES PLANTED,56841000
2013,WHEAT,WHEAT - ACRES PLANTED,56236000
2012,WHEAT,WHEAT - ACRES PLANTED,55294000
2011,WHEAT,WHEAT - ACRES PLANTED,54277000
2010,WHEAT,WHEAT - ACRES PLANTED,52620000
2009,WHEAT,WHEAT - ACRES PLANTED,59017000
2008,WHEAT,WHEAT - ACRES PLANTED,63617000
2007,WHEAT,WHEAT - ACRES PLANTED,60460000
2006,WHEAT,WHEAT - ACRES PLANTED,57334000
2005,WHEAT,WHEAT - ACRES PLANTED,57214000
2004,WHEAT,WHEAT - ACRES PLANTED,59644000
2003,WHEAT,WHEAT - ACRES PLANTED,62141000
2002,WHEAT,WHEAT - ACRES PLANTED,60318000
2001,WHEAT,WHEAT - ACRES PLANTED,59432000
2000,WHEAT,WHEAT - ACRES PLANTED,62549000
1999,WHEAT,WHEAT - ACRES PLANTED,62664000
1998,WHEAT,WHEAT - ACRES PLANTED,65821000
1997,WHEAT,WHEAT - ACRES PLANTED,70412000
1996,WHEAT,WHEAT - ACRES PLANTED,75105000
1995,WHEAT,WHEAT - ACRES PLANTED,69031000
1994,WHEAT,WHEAT - ACRES PLANTED,70349000
1993,WHEAT,WHEAT - ACRES PLANTED,72168000
1992,WHEAT,WHEAT - ACRES PLANTED,72219000
1991,WHEAT,WHEAT - ACRES PLANTED,69881000
1990,WHEAT,WHEAT - ACRES PLANTED,77041000
1989,WHEAT,WHEAT - ACRES PLANTED,76615000
1988,WHEAT,WHEAT - ACRES PLANTED,65529000
1987,WHEAT,WHEAT - ACRES PLANTED,65829000
1986,WHEAT,WHEAT - ACRES PLANTED,71998000
1985,WHEAT,WHEAT - ACRES PLANTED,75535000
1984,WHEAT,WHEAT - ACRES PLANTED,79213000
1983,WHEAT,WHEAT - ACRES PLANTED,76419000
1982,WHEAT,WHEAT - ACRES PLANTED,86232000
1981,WHEAT,WHEAT - ACRES PLANTED,88251000
1980,WHEAT,WHEAT - ACRES PLANTED,80788000
2022,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1780819000
2021,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1645764000
2020,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1828043000
2019,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1932017000
2018,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1885156000
2017,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1740910000
2016,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2308663000
2015,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2061939000
2014,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2026310000
2013,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2134979000
2012,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2252307000
2011,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1993111000
2010,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2163023000
2009,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2208918000
2008,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2511896000
2007,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2051088000
2006,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1808416000
2005,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2103325000
2004,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2156790000
2003,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2344415000
2002,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1605878000
2001,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",1947453000
2000,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2228160000
1999,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2295560000
1998,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2547321000
1997,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2481466000
1996,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2277388000
1995,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2182708000
1994,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2320981000
1993,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2396440000
1992,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",2466798000
