crop,fungicide,herbicide,insecticide,growth_reg,fumigant
Barley,"2011, 2019","2011, 2019","2011, 2019",NA,NA
"Corn, grain","2016, 2018","2016, 2018","2016, 2018",NA,NA
"Corn, silage","2016, 2018","2016, 2018","2016, 2018",NA,NA
Cotton,"2019, 2021","2019, 2021","2019, 2021","2019, 2021",NA
Peanuts,"2013, 2018","2013, 2018","2013, 2018","2013, 2018","2004, 2013"
Potatoes,"2014, 2016","2014, 2016","2014, 2016",NA,"2014, 2016"
Rice,"2013, 2021","2013, 2021","2013, 2021",NA,NA
Sorghum,NA,"2011, 2019","2011, 2019",NA,NA
Soybeans,"2018, 2020","2018, 2020","2018, 2020",NA,NA
Sugar beets,"2000, 2000","2000, 2000","2000, 2000",NA,"2000, 2000"
Wheat,"2017, 2019","2017, 2019","2015, 2017","2015, 2015",NA
